,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
418,DABANG DELHI K.C.,PUNERI PALTAN,27,31,11,13,9,12,2,2,5,4,1,6
419,PATNA PIRATES,BENGALURU BULLS,41,43,22,29,13,10,4,2,2,2,1,6
420,PATNA PIRATES,BENGAL WARRIORS,29,27,16,18,10,7,2,0,1,2,0,6
421,U.P. YODDHA,TAMIL THALAIVAS,24,46,14,19,9,19,0,6,1,2,1,6
422,JAIPUR PINK PANTHERS,GUJARAT FORTUNEGIANTS,25,36,10,14,11,15,0,4,4,3,1,6
423,U MUMBA,PUNERI PALTAN,31,22,11,7,14,12,4,0,2,3,0,6
424,U.P. YODDHA,BENGALURU BULLS,29,35,12,20,12,12,2,2,3,1,1,6
425,DABANG DELHI K.C.,GUJARAT FORTUNEGIANTS,38,45,26,25,6,12,4,4,2,4,1,6
426,U.P. YODDHA,BENGAL WARRIORS,30,30,19,19,8,7,2,2,1,2,draw,6
427,JAIPUR PINK PANTHERS,HARYANA STEELERS,38,32,21,22,12,7,4,2,1,1,0,6
428,U.P. YODDHA,TELUGU TITANS,26,26,11,13,13,11,2,2,0,0,draw,6
429,U.P. YODDHA,PATNA PIRATES,41,43,27,26,7,11,4,4,3,2,1,6
430,HARYANA STEELERS,DABANG DELHI K.C.,33,39,20,23,9,12,2,4,2,0,1,6
431,U.P. YODDHA,BENGALURU BULLS,27,37,14,19,12,12,0,4,1,2,1,6
432,U MUMBA,JAIPUR PINK PANTHERS,48,24,24,16,15,7,8,0,1,1,0,6
433,BENGAL WARRIORS,TELUGU TITANS,30,25,11,13,14,11,2,0,3,1,0,6
434,PATNA PIRATES,BENGAL WARRIORS,50,30,28,17,15,10,6,2,1,1,0,6
435,U MUMBA,GUJARAT FORTUNEGIANTS,36,38,19,22,14,9,2,4,1,3,1,6
436,U MUMBA,HARYANA STEELERS,31,35,19,20,10,12,2,2,0,1,1,6
437,PUNERI PALTAN,TELUGU TITANS,25,28,12,14,9,10,2,4,2,0,1,6
438,U MUMBA,U.P. YODDHA,41,24,15,10,18,13,6,0,2,1,0,6
439,TAMIL THALAIVAS,HARYANA STEELERS,32,32,17,18,11,9,2,2,2,3,draw,6
440,U MUMBA,BENGALURU BULLS,32,29,14,21,11,4,4,2,3,2,0,6
441,PATNA PIRATES,DABANG DELHI K.C.,38,35,23,24,9,9,4,2,2,0,0,6
442,U MUMBA,TAMIL THALAIVAS,36,22,14,15,17,5,4,0,1,2,0,6
443,GUJARAT FORTUNEGIANTS,BENGAL WARRIORS,35,23,18,13,10,8,4,0,3,2,0,6
444,JAIPUR PINK PANTHERS,U.P. YODDHA,45,28,20,14,19,11,6,0,0,3,0,6
445,PUNERI PALTAN,BENGAL WARRIORS,22,26,13,12,6,10,0,2,3,2,1,6
446,GUJARAT FORTUNEGIANTS,BENGALURU BULLS,30,30,20,17,6,10,2,2,2,1,draw,6
447,JAIPUR PINK PANTHERS,BENGALURU BULLS,32,45,21,28,9,9,2,6,0,2,1,6
448,GUJARAT FORTUNEGIANTS,U.P. YODDHA,37,32,17,17,12,11,4,2,4,2,0,6
449,TAMIL THALAIVAS,TELUGU TITANS,27,23,15,15,9,7,2,0,1,1,0,6
